PC1,cluster
-0.8642254038456431,0
-0.9725031047771908,0
-0.0858229259565788,5
-0.7021764317613097,0
-0.3400340553521671,5
-0.5428068961116077,3
-0.6861783710942616,3
-0.823815397667913,0
-0.6038304236491572,3
-0.0207704006093928,2
-0.5538635723286149,3
-0.4522592794174894,3
-0.6192059557252775,3
0.4104338278946934,2
-0.8182279542741129,0
-0.6325640918259894,3
-0.7074049632350132,0
0.1892917402914281,2
-0.546641436898202,3
-0.3756303876256857,5
-0.9487182791901336,0
-0.8923816580200794,0
-0.4271331301279689,3
-0.147342629060957,5
-0.7983742801813988,0
-0.6381692352288129,3
-0.6764285928508308,3
0.1362989009867025,2
-0.5142194483012079,3
-0.3767610178465215,5
-0.9486675205058384,0
-0.8890745850184756,0
-0.3944115019402023,5
-0.1188636603213906,5
-0.5942779978455217,3
0.4787460366863778,2
-0.9534904180814272,0
-0.8952600023138969,0
-0.7775786539071055,0
-0.6091244042235908,3
-0.6692267685099144,3
0.2433332356643712,2
-0.5080506129957634,3
-0.3390499274071282,5
-0.4191289927425534,3
-0.057408405016365,5
-0.5799278861157057,3
0.5566295286747718,4
-0.5113850985468781,3
-0.3253583962587076,5
-0.9435409542429268,0
-0.8760927301629702,0
-0.377750401947704,5
-0.0335797993976637,2
-0.5840028197173676,3
0.6477561777064871,4
-0.8109954409054345,0
-0.6168092563336761,3
-0.6618864765269523,3
0.3227460221629629,2
-0.7852504638951154,0
-0.5754944214529334,3
-0.6628411632200966,3
0.3947877392001429,2
-0.4870054895111823,3
-0.262790937843284,5
-0.9438944939318336,0
-0.859157326307145,0
-0.361501791945649,5
0.0552980878018033,2
-0.5861096534308092,3
0.7827285915541424,4
-0.5712096214793709,3
0.5501391120297083,4
-0.8012932898265652,0
-0.5711776652527562,3
-0.6561724649928079,3
0.4376083197340694,2
-0.4999166517361147,3
-0.2583783329579723,5
-0.950681689220546,0
-0.8670634534100132,0
-0.3725898332873917,5
0.059860172804266,2
-0.4076798732164716,5
0.0662516111128712,2
-0.594409530345274,3
0.4421536415341276,2
-0.9550116188735016,0
-0.880221688287976,0
-0.7743629064627225,0
-0.5813495042466187,3
-0.669861658423684,3
0.1591008397552828,2
-0.5189636762634515,3
-0.3411756908080262,5
-0.9536814312605544,0
-0.8735230349295509,0
-0.3867140944912679,5
-0.0933275350234802,5
-0.5903116336825006,3
0.3826296057177054,2
-0.8006132116261641,0
-0.5841413984602892,3
-0.6701362562111777,3
0.194751418952089,2
-0.4957802055808804,3
-0.3275714875706584,5
-0.7886168146308712,0
-0.5821794516076341,3
-0.6681155720830856,3
0.2042710925257009,2
-0.5007143372010576,3
-0.3052914516079596,5
-0.9523443020403032,0
-0.8643357600321036,0
-0.3710333688831146,5
-0.0648619437130658,5
-0.5774088039637757,3
0.4251694606564105,2
-1.0299323105104268,0
-0.8033789617906365,0
-0.6102980313845735,3
0.5287049909592707,2
-0.7758635447624744,0
0.7562995462900401,4
-0.8816832726828339,0
-0.4017213584030035,5
-0.7723968740626461,0
0.1218404009210587,2
-0.568466090184009,3
-0.2479429865872234,5
-0.632595232140775,3
0.3549999731039897,2
-0.8248530621917215,0
-0.4575851462139457,3
-0.7188289685411335,0
0.4245548197569415,2
-0.6299007634305416,3
-0.086627618331294,5
-1.0234390204314403,0
-0.826234669790322,0
-0.567911781635407,3
0.1428878991834371,2
-0.862335458453098,0
-0.421165874886979,3
-0.7639321402981856,0
0.2584468645972406,2
-0.5884420057146011,3
-0.1897310926622182,5
-1.020829245588636,0
-0.8402764864307282,0
-0.4999560663707502,3
0.0243478078439053,2
-0.667033644224135,3
0.3862744342976509,2
-1.0203137089653542,0
-0.8600464967577923,0
-0.8107580398252086,0
-0.4474596792438539,3
-0.7199412536284612,0
0.1419964688001204,2
-0.5546695766060445,3
-0.2183327245764266,5
-0.5108594768941943,3
-0.0338090132578916,2
-0.642750390733532,3
0.3474830564685726,2
-0.5609410344002516,3
-0.2329597330522106,5
-1.0179100040593316,0
-0.8528376908930368,0
-0.4590453156641872,3
-0.0149002066880596,2
-0.6311289451403499,3
0.3194512649929021,2
-0.8095605704939628,0
-0.4813170306736701,3
-0.7070780922015665,0
0.1579943213725565,2
-0.8046416810214543,0
-0.4821166518653222,3
-0.6995662012031967,3
0.1558241426072043,2
-0.5263026839804799,3
-0.2711267576778577,5
-1.018321279095233,0
-0.8577149350792839,0
-0.4299456115082369,3
-0.0673314157845326,5
-0.5937901757125841,3
0.3513617677725219,2
-0.59281495061182,3
0.3119048096341623,2
-0.8045381453359032,0
-0.4985742169064612,3
-0.6763910177686522,3
0.1683939060902978,2
-0.5051701004022722,3
-0.2735571354882862,5
-1.000734149269418,0
-0.8588351876168279,0
-0.4102690628606983,5
-0.04530010265061,2
-0.471574870906572,3
0.0957135439846086,2
-0.6065754334509783,3
0.3523356932729471,2
-1.012677456729849,0
-0.823151915031709,0
-0.7741279724873232,0
-0.4767677183920331,3
-0.6836807589880255,3
0.1159288651814205,2
-0.4915892318621261,3
-0.2963745310160738,5
-1.006245133780514,0
-0.8722944020539782,0
-0.4030612687523298,5
-0.0751828386545551,5
-0.5829695453158775,3
0.3139181943391035,2
-0.78389189713607,0
-0.491651381381642,3
-0.6746339320773156,3
0.1470044177565698,2
-0.4965025936405813,3
-0.2782492501537952,5
-0.7802524059342164,0
-0.5017718783744909,3
-0.6585843066452477,3
0.1807928428040532,2
-0.4817974015981411,3
-0.2444628666986196,5
-1.012855346745211,0
-0.8643215935094533,0
-0.3788569474484362,5
-0.0016827049517905,2
-0.5680275591665696,3
0.4054417732654171,2
-0.9597145213429072,0
-0.9094904792263654,0
-0.4691220796533215,3
-0.1272755283287905,5
-0.632824203181403,3
0.376789047985205,2
-0.8333818707085202,0
-0.5648576444492961,3
-0.6899951625658198,3
0.2773088518091324,2
-0.5267341001774991,3
-0.2367428353131427,5
-0.5845922511552228,3
0.566993042751873,4
-0.8141498343460511,0
-0.5074823479267168,3
-0.6805442678884167,3
0.3646570037247463,2
-0.4780811583884886,3
-0.1740735168461697,5
-0.968480528433222,0
-0.8499456737717209,0
-0.3514746632236994,5
0.1179863431655522,2
-0.8090810563986788,0
-0.4847730435115605,3
-0.666899743512708,3
0.4231639216585126,2
-0.4820561927841325,3
-0.1644616037276792,5
-0.9649330196651876,0
-0.8445217224893443,0
-0.3253058232093639,5
0.1374502870844425,2
-0.5614576614875019,3
0.6757439679060622,4
-0.9690114817648284,0
-0.8440230739130384,0
-0.7783032698969612,0
-0.4487116206276486,3
-0.6557144526792985,3
0.4823845137331337,2
-0.4565393621361872,3
-0.1219390614351024,5
-0.3510204935792765,5
0.1878972486930978,2
-0.5529109140232006,3
0.7616878009216363,4
-0.449635010646107,3
-0.0863141624402207,5
-0.9593843448082338,0
-0.8196918477030335,0
-0.2964518961287846,5
0.1886379608852046,2
-0.5364464305293069,3
0.7808019241331843,4
-0.7834847694097522,0
-0.4243347484998779,3
-0.6535199194122197,3
0.5225817040527327,2
-0.7834137193982251,0
-0.4181445035989048,3
-0.649109151561744,3
0.5460952804223544,4
-0.4340791424555579,3
-0.0810705780141881,5
-0.9508499777126722,0
-0.8185308467209668,0
-0.3057647586467363,5
0.1797757215410764,2
-0.5456458757933842,3
