Dataset,Algorithm,K,Silhouette,Davies_Bouldin,ARI,NMI
full,KMeans,4,0.37953136971903756,1.251743935937907,0.09915934042321772,0.22559043546449142
pca,KMeans,4,0.3990060170508575,1.1855373253143808,,
fs,KMeans,4,0.3707697388241109,1.1638732420397855,,
