PC1,PC2
-0.8642254038456431,-1.496622089799878
-0.9725031047771906,-1.6672025475251337
-0.08582292595657876,-0.23586234498104708
-0.7021764317613097,-1.1889057376457202
-0.34003405535216713,-0.8279502419268412
-0.5428068961116077,-0.8015783149088639
-0.6861783710942616,-1.2720055962408359
-0.823815397667913,-1.5299545165680244
-0.6038304236491572,-0.9730051267413846
-0.020770400609392392,-0.3560248073556451
-0.5538635723286149,-0.4919415277739768
-0.45225927941748933,-0.6101923743695494
-0.6192059557252774,-0.5252262314816437
0.41043382789469374,1.0333117795223306
-0.818227954274113,-1.2191566017489115
-0.6325640918259895,-1.0852052559208567
-0.7074049632350132,-0.8615115626422153
0.18929174029142792,0.587545459953639
-0.5466414368982021,-0.3592889865881554
-0.3756303876256857,-0.4849631986310059
-0.9487182791901334,-1.3494440884851175
-0.8923816580200796,-1.4796508095843777
-0.42713313012796905,-0.1338257477961612
-0.14734262906095685,-0.07131908963296651
-0.7983742801813989,-1.2162589686799308
-0.6381692352288129,-1.192098314463157
-0.6764285928508308,-0.9270382417693686
0.1362989009867024,0.37011778295135944
-0.514219448301208,-0.42529966590601115
-0.37676101784652166,-0.5501080767022
-0.9486675205058385,-1.3731121245043227
-0.8890745850184758,-1.46750240985638
-0.39441150194020225,-0.1988866225718019
-0.11886366032139045,0.03063954829470894
-0.5942779978455217,-0.6981183277733626
0.4787460366863774,0.7493424928805662
-0.9534904180814274,-1.514161508621339
-0.8952600023138968,-1.6077411729317985
-0.7775786539071055,-1.2100115132862799
-0.6091244042235908,-1.181394641435895
-0.6692267685099144,-0.9096917407457336
0.24333323566437115,0.35151111448513384
-0.5080506129957633,-0.46362551140744024
-0.33904992740712825,-0.6094310377929311
-0.41912899274255344,-0.047268190172504776
-0.057408405016364905,0.04029411292021767
-0.5799278861157057,-0.5215605631268645
0.5566295286747722,1.0324714688307637
-0.511385098546878,-0.25840957244408935
-0.32535839625870755,-0.3505096630561312
-0.9435409542429267,-1.3144897818201589
-0.8760927301629704,-1.3937936133568132
-0.37775040194770404,-0.02219232434548485
-0.03357979939766331,0.07710076948468136
-0.5840028197173676,-0.4547683880830907
