Dataset,Algorithm,Components,Covariance,Silhouette,Davies_Bouldin
full,GMM,4,full,0.18112643889143024,1.677042654542506
pca,GMM,4,full,0.1463581443916387,2.534583429544159
fs,GMM,4,full,0.08460323729473627,2.4878099057646166
