"","cluster","V1","V2","V6","V8","V9","V10","V14","V16","V17","V18","V19","V20","V22","V24","V33","V34","V35","V36","V37","V40","V45","V48","V66","V88","V97","V99","V100","V104"
"1",-1,0.123260509787571,0.11016805249287,-0.13213321151361,-0.121721275528386,0.0814101668182042,0.0976712775010498,-0.0839547316392606,-0.134760573586597,0.0583576266385112,0.128949986960707,0.0790364878762487,0.104991232775795,-0.0923794226981751,-0.11090459727498,0.0883532769402204,0.120891732498579,0.0756484434019522,0.0737136004856313,0.0754191864635185,-0.0573629969510679,0.06778297275424,-0.0385525135424311,0.108775213310315,-0.169306001715536,0.0548720609856452,0.0621825415566364,0.0650649397886932,-0.150107496840192
"2",0,-0.0725711635826744,-0.0677515708271129,-0.143445523536765,-1.39220731420217,-0.155919892546888,-0.132802689286358,-0.00391229439890469,-1.02488486147022,-0.289421514652032,-0.20460258505248,-0.0487510077490056,0.285529479284931,0.137006627653714,-1.95506071422475,-0.164479738808894,-0.157710621143714,0.125232361670191,0.329184554420708,0.166958320638185,-1.41882480479692,0.25492891908504,-1.26822505455696,-0.15159570374808,-3.39576857407563,-0.0436088944424322,0.487084435756529,0.668543897958375,-2.03156939224526
"3",1,0.03518857916179,0.0296309852850999,-0.984197383369486,-2.06568529278417,-0.0252509036572911,0.0754004853338386,-0.918565245373776,-2.92388578452671,0.128896728615737,0.723011608688443,0.142539709575209,0.110482563573507,-1.13990515444043,-2.01106565146191,0.185787291754757,0.692881538169751,0.129133565887938,0.0271156751863746,0.00788199982779671,-1.43286355694219,-0.0423356905810441,-1.21745514378581,0.00890912685653791,-3.67308357932604,-0.0232242795014239,-0.0612857395106833,-0.114772902524054,-1.94122057523333
"4",2,0.995984445197849,0.62778844246652,-0.903566905571825,-1.80315807507329,1.07994960646699,0.621485477117384,-1.0264872453478,-2.79864890922457,1.03782031473352,1.37754613515766,0.887877150484183,0.566586571313692,-1.15487859064128,-1.86101388457051,1.15364984643295,1.14991615321784,0.993974349261332,0.799709188316313,0.709959646655145,-1.28030787249547,0.56794683674964,-1.07702068168974,0.711967036477021,-3.45467639120678,0.965687747599412,0.845106483832141,0.469306118959529,-1.79214475813484
"5",3,0.727326261218636,0.550735471901977,-0.674142690788401,-1.01454762040338,0.902906905182537,0.602621592596867,-0.8256298195109,-1.76760329755892,0.656182682329243,0.94217154391227,0.449951224013847,0.232954844339329,-0.700343565084697,-0.665978677263674,0.889162252918423,0.858768355592852,0.712694842480865,0.408746759939734,0.283608448019107,-0.552194157555164,0.200164445302413,-0.44013052837921,0.669143073514578,-1.39582548679042,0.68693497886662,0.509270689769625,0.189951902838875,-0.918276898294306
"6",4,0.582719278270269,0.389421582222525,-0.537314636762795,-0.665405916743759,0.699574588421063,0.388718191927083,-0.644645028305042,-1.16290828023709,0.299067544494191,0.51720564244709,0.158340927282177,0.0291641570848751,-0.309499232063702,-0.265505149411616,0.556789210611423,0.54900928226383,0.404766161421874,0.140068836395042,0.0782956058254062,-0.297154093063711,0.0155151235363897,-0.206828985781879,0.468205417469641,-0.670279260829652,0.371014476650378,0.23535679453494,0.00443616709029533,-0.56160179275458
"7",5,1.36463008691632,0.215369005239499,-1.43633052476364,-0.565530358334,1.08234463010512,0.0903121864868485,-1.07549520364884,-0.388688469794539,0.0473358471237515,0.157319577368066,-0.158227052396557,-0.191261924390852,-0.0380956062781687,0.193893740475026,0.0924222546760839,0.202123986140685,-0.170670725989998,-0.316181589794619,-0.500663559989196,0.467570231022662,-0.505449572847205,0.457883466073665,0.196725362790338,0.117471833531471,-0.00323212552159099,-0.232946567700203,-0.287109275385412,0.33649848227004
"8",6,0.686717717516232,0.168940984939027,-0.685648439603727,-0.494557678673297,0.518218514166383,0.0864602991792521,-0.521540439386952,-0.438436886059269,0.390546276998387,0.0247361632462693,0.185733292858713,0.117895073174978,-0.326882841056797,-0.191595489920429,0.384505882436944,-0.0144476776902403,0.301802444867532,0.365359283910759,0.202193535526087,0.0504972308629408,0.155720280240632,0.118045064292678,0.157707811779495,-0.488435337939143,0.407379939429842,0.28323299784767,0.307699028358268,-0.293056004711151
"9",7,0.601094976997996,0.210618706077679,-0.618681503942331,-0.29932077990598,0.48313905784703,0.132362070393497,-0.50515423590926,-0.296033860434878,0.535239919533261,0.111150416586153,0.370039059918154,0.215830034994466,-0.507060558511848,-0.404518928872893,0.208566898533262,0.0441826436084113,0.164452776053783,0.130245074185656,0.0662062551822359,-0.00448797952257661,0.115927947422142,-0.0207165547501072,0.200751332887045,-0.67558073270415,0.455623687363544,0.355489601383821,0.329085661215493,-0.206873375379213
"10",8,0.361332439216288,0.217634433204272,-0.324246232681957,-0.285560993052473,0.408226046741119,0.184091110164623,-0.358349600260503,-0.476496326900621,-0.0316354930257256,0.173628278488842,-0.114360940492189,-0.145710209420037,0.0343770776739974,0.087352884561899,0.195051535037932,0.235749674005247,0.0344888732480425,-0.119189952699918,-0.155070889101857,0.029047235740142,-0.17434318853552,0.0890770710373781,0.273078384388777,-0.0659857786123698,0.0348107539695354,-0.0910017775976224,-0.175223396721541,-0.195164761265236
