"","cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1",-1,-0.0186362439777942,-0.030879177203838,-0.0480964864491708,0.116480291002862,0.0423827171481529,0.0128150544546961,-0.0443301759299509,0.0149634003290376
"2",0,-4.29500603933873,-0.278405023393734,-6.09431318038522,-1.1795581113492,3.33276845123886,0.517642592674669,-0.721664700237771,-0.178218639264721
"3",1,-9.10328660763172,-3.24903930296748,-7.25251045538965,1.99589762769232,1.22902739992589,-1.02533963243356,2.51333775993421,-0.71922727469823
"4",2,-6.59049355995619,0.879103424080559,4.07431178348967,1.74044175307547,-0.423037594199296,1.09699321416398,-3.66442703468702,0.636787534264216
"5",3,-12.0817592356493,-3.1155067376756,-1.38008051969562,1.34016360360088,-0.831774189951671,1.01914153642748,0.291995393340428,0.381694531643277
"6",4,-14.4401596894935,-3.54311128420663,-3.17401513287824,1.05382937094774,-0.0318011583250655,1.49481015764221,-0.372312433391514,0.0746444064943469
"7",5,-7.97467980124383,-3.17309045038107,-0.735000120223011,0.997194858086099,-0.437565733457624,0.829242503859849,-0.0441942623861196,-0.127916380906079
"8",6,-7.10633925667637,-1.92127304826471,0.190198999669321,-1.89299446410849,-1.41362385574932,-1.70598121782382,0.332680871023381,0.411490891848859
"9",7,-4.1495188606105,-2.98318839380117,-0.299504711717686,0.716699216579101,-0.155741920308492,0.726321277448284,-0.280701280047473,-0.290788872873989
"10",8,-2.65660076153635,-1.49743386402953,3.11013459169315,0.946807573216286,0.405574827398919,0.656935832992644,0.430218306900074,-0.129597021286847
"11",9,-1.70714755694631,-1.40735662470937,1.73137618639451,1.55235083374942,-0.84976204553167,0.0486663919399345,0.219548234197736,0.0924496879801352
"12",10,-1.16198843310976,1.0172536523498,1.24863634767882,2.42488964152028,0.66301553376952,-2.00012607612932,-0.844231828049946,-0.722938562566913
"13",11,0.0451359998797106,0.978902442601253,0.726498259176307,0.955877370640683,0.732068231277277,-1.72833167491482,-0.211485070882223,-0.42901636327095
"14",12,-4.47666551631288,-3.75734106049582,1.35120401282775,-1.17647518097353,-1.26558870091467,-0.997600445362678,-0.359030023465205,-0.695395473362362
"15",13,-3.46293458356512,-2.46589968212807,0.595688953524559,-1.09791132065893,-1.34607299104537,-1.03102573134891,0.101924872686461,0.0239768621149848
"16",14,-2.37427632355847,-3.10922369333952,0.993240173535517,-0.918444090162885,-1.0285761729484,-0.803050142866427,-0.127826843544055,-0.531628115700622
"17",15,-1.91124584274572,-2.68280798982516,0.731416836014936,-0.789920215237246,-1.23237940772377,-0.737937306348966,0.0702868434046943,-0.146897201394101
"18",16,-1.23042439790523,-2.48629951665993,0.653708659125665,-0.71907938696416,-1.17893505897037,-0.672907550040011,0.123043445507656,-0.116834658982883
"19",17,-3.34490211725944,-3.40808820683673,1.44793194509046,-1.01383672511947,-0.848360449361862,-0.830225665098296,-0.264080231314278,-0.848340033161656
"20",18,-3.54584646394197,-3.31696802189635,1.15809690622211,-1.06106884577665,-1.18100816061725,-0.948269602189407,-0.205514480001616,-0.53988690262454
"21",19,-3.23838129166266,-0.382197131891616,0.17966927724314,-1.10427794321172,-0.687702085336981,-0.857079558388601,0.203900233356894,0.576127754608442
"22",20,-6.41331487692109,0.669896755835106,2.48503579279958,-0.420182122546924,1.77947832187532,-0.348966335785424,0.853998385950708,0.214327194641246
"23",21,-4.62675166916133,0.444918344703523,2.41816850241111,-0.284274566916315,1.72932870674346,-0.112115099063799,0.844820469472411,0.0722655479376814
"24",22,-2.85666869598119,0.401695874085222,2.14848681117181,-0.272526284952557,1.49019174330697,0.0373486440612467,0.826051815801281,-0.0304432796157778
"25",23,-1.18742928313805,0.648528929354996,1.82000192016053,-0.392639204562895,1.47390256068428,0.239209414571327,0.719004892461355,-0.429100061957283
"26",24,-0.00149260641577947,-2.83452854078249,0.957234637917588,-0.489935427022377,-0.99405004069093,-0.361390831888891,-0.01621852565185,-0.44055745719446
"27",25,1.13142463198997,-2.17408317255799,0.576422823807561,-0.418675520864283,-0.929152464150918,-0.334284237062056,0.121174685740356,-0.256326762892589
"28",26,0.0425982531084323,-2.40995170148337,0.68876821037291,-0.492110874068592,-1.08101473706457,-0.444491820474976,0.121697116335371,-0.18897366175444
"29",27,-1.23039019690571,1.52773287567679,0.333934315658133,2.64037862523783,0.898873446239424,-1.1321362551415,-0.876590111566508,-0.472730591332928
"30",28,-1.66677437540207,-1.07184063912134,0.058151374295212,0.329132265427702,0.32283730950144,-0.160341182575636,-0.163763582992391,-0.444787476326032
"31",29,0.915656355837636,0.597985889071387,1.28835651576312,-0.416206258073666,1.03631103282391,0.377400458290881,0.583248949521669,-0.636717709621607
"32",30,-3.13542432245833,3.59603912833631,-0.167680969446124,-0.472163879655914,-1.16686310222648,-0.341612384328065,0.503717226845627,-0.22259896027925
"33",31,-4.14790337796229,3.99978479648245,-0.225226252254601,-0.392988701882684,-1.28243023629684,-0.394041725773071,0.548339044700242,-0.0928229621112312
"34",32,-4.96744719516156,4.51739094792408,-0.313790079644796,-0.57214796134396,-1.43365159894088,-0.424532209783723,0.506163312338412,-0.111710683935655
"35",33,-2.30513755610545,2.93194980567799,-0.187350345254261,0.135799050912549,-1.36297844605264,-0.177678591691709,0.593828032410132,-0.052919480797552
"36",34,-0.589759794905135,2.36766957625521,-0.0465987811734876,-0.347032539754408,-0.895630568069279,-0.106804292173868,0.470828676574816,-0.361139023098908
"37",35,-1.71541162878649,2.89696948715019,-0.100896632354495,-0.362895834122494,-1.05576665962065,-0.207450085470193,0.484324390398597,-0.27798341824111
"38",36,1.17188699810159,-0.416780771359324,1.16172470090257,-0.242435674007706,-0.00640558212609965,0.481318353474965,-1.05976423268763,-0.404577856056559
"39",37,-2.24697407604999,-1.11967393837924,0.488450995436982,-0.853236881526954,-0.198555527618665,-0.782081100878252,0.0740187395172592,-0.0890654968772365
"40",38,0.146772442122855,-1.89566268341635,0.373596182016166,0.473313913303805,-0.273968825017384,0.463959964880663,-0.024189608802389,0.00202343211620312
"41",39,0.321728654225074,-0.888717744479184,0.0513849453002173,0.110648829496667,0.257169791851083,-0.0451749485122279,-0.0801811693387982,-0.519734525229884
"42",40,-0.59781734663046,-1.0702899582312,0.0354116858690202,0.160136232251157,0.263182421241621,-0.119769413044427,-0.107845894434263,-0.533815534654663
"43",41,-2.39445320888284,-0.338734136561692,1.41587106346999,0.898819879418505,1.20745082376443,0.915452827397625,0.463489749202181,0.21201426938158
"44",42,-0.3830388116163,-0.187429409980705,1.01990027427552,0.396784916906091,0.976720253205238,0.635585204707155,0.308085204490402,-0.180873609775348
"45",43,-1.389761555849,-0.290196933928045,1.21412847737514,0.57320899857066,1.09003739021387,0.716226243914218,0.337036818551103,-0.0570874237739321
"46",44,2.31920536997988,-1.49561093300714,0.21029379583895,-0.263051659177163,-0.898720430295565,-0.17051798734911,0.285129711006964,-0.0352321312759028
"47",45,-1.91957064261991,0.278423492890503,0.935369340024116,-0.046391986043234,0.707108269324213,-0.244383425842687,0.524556343770613,0.360875334300561
"48",46,1.77039625777891,-2.7368711189719,1.39308200810472,-0.247167014458503,-0.636776850345686,0.970708687656031,0.0429035881146608,0.0445386677794545
"49",47,1.49398105313307,0.194355595247196,1.07536269756977,-0.239576538773151,0.623821857238943,0.315390194223455,0.522803780284344,-0.535263756420397
"50",48,-1.75646320613509,-0.386982518062756,1.33758884979723,-0.0320692113186861,0.121032411523708,-0.472653784413057,0.319183217746552,-0.0317742589922463
"51",49,-1.39787443861693,-0.12279693826319,1.03567128498514,-0.00251390600076424,-0.0919878618493943,-0.396668510246007,0.536244985891074,0.18529674772417
"52",50,-0.506853503592461,-0.192913004675301,0.988301413557441,0.0379180066304956,-0.0968920686513016,-0.224967720921432,0.521271251934923,0.113601472563591
"53",51,0.0582115708625734,-0.187121090350481,0.916935861977038,-0.00235020556194155,-0.0765236010132785,-0.177035269286677,0.523804956890773,0.0764690794173888
"54",52,0.681458248392754,-0.168176260505648,0.845481602682541,-0.0524540927133443,-0.0537600382017545,-0.112242336589701,0.545493896372838,0.0354391197952941
"55",53,1.74513203844576,-0.2341030490596,0.719771954005381,-0.0348402473861888,0.0274250014207778,-0.00861484534713016,0.481807515882454,-0.10719745767584
"56",54,1.20301679512305,-0.164424327677714,0.741079059611773,-0.0236976405743667,-0.0838299581697509,-0.0505960468197038,0.541186609985236,0.0165552443056453
"57",55,-1.85339657866523,0.836284548390763,0.921406421099237,-0.815214143665956,0.545815462721286,0.167162213675552,0.149014374785144,-0.288689720011536
