Dataset,Algorithm,BestComponents,Silhouette,Davies_Bouldin,ARI,NMI
full,GMM,9,0.0957141507118714,1.6738059930043148,0.2112812875317095,0.36591288567948954
pca,GMM,10,0.011953666743554551,2.612316356971753,,
fs,GMM,9,0.00651849035521451,2.30534703097132,,
