Dataset,Algorithm,eps,min_samples,Clusters,NoiseRatio,Silhouette,Davies_Bouldin,ARI,NMI
full,DBSCAN,0.2,20,61,0.8202731847591661,0.6921783048173671,0.44612992038768573,0.011587082200498497,0.22451301282943006
pca,DBSCAN,0.2,20,114,0.5740474478792236,0.5530466916227347,0.44629654739143115,,
fs,DBSCAN,1.5,20,3,0.005535585909417685,0.6179804267359976,0.36778743967770394,,
