PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
3.5057201051674114,-0.35101291809214985,-0.1264449109102304,-0.22059822337651575,0.18661490970390657,-0.42709412597086815,0.14767948325735536,-0.28596291900532794,0.07178328091423669,-0.17243773992683603,0.28059343586557706,-0.10198296622106429,0.04626450583072708,-0.05274232655896844,0.09527194804362991,0.14967304474912493,0.033128465311326315,0.07582762894782717,0.1015624320398199,-0.004154576615939563,0.034695869468104074,-0.04411953080128084,-0.0455530222961906,-0.06856812279609241,-0.027803279193658298,-0.04599098062175284,0.0416785189059522,-0.007526073517888657,-0.037669338601090424,-0.01234060872175541
3.950221389706275,-0.3079895323731693,-0.6602087003976516,-0.09764459337889136,-0.18452816554539267,-0.21669365296536408,0.08758010085920616,-0.18996603814096635,0.019572313825157228,-0.1200307499673595,0.28928550432144573,-0.21014947895298872,0.0677130222925177,0.0035490092421374617,0.03961380588428101,0.0749355314565655,0.036764521719773034,0.02598253823605372,0.04054517953597643,0.15434461506910827,0.05362314074750364,-0.03811555346061345,-0.01668614029321776,-0.05360820635650815,-0.04439734886913285,-0.09304480986772291,0.010899280062245276,-0.010370398285926244,-0.04302044576368454,-0.0895170520247973
-0.046584253427996436,-0.6925483690904585,0.5549137622217637,0.49683836291965294,0.6117538926264776,-0.6917470564069125,0.2850822738064461,0.264732976981568,-0.2634379822681425,0.07903064324628768,0.4158483615633656,-0.028028264159788874,0.07175688794827458,-0.04196102939479005,0.20595395678795714,0.039606749108084774,0.23801280444330147,-0.13588869172572496,0.1748841448219101,-0.07388614614251829,-0.005326338296958921,-0.11868617603196178,-0.06327057041033847,-0.11962818514595053,0.007249758413538046,-0.03365691329775475,0.02457237048955402,-0.12787069608228002,0.025123183098555765,0.03156547815685325
2.710882869665601,0.06823899485896426,-0.5155224997888468,0.6055319701181714,-0.3903227820854743,0.23715961545142505,0.1895388204489903,-0.18840224245475068,-0.17916967725121852,-0.35013633699622754,0.48114944032830653,-0.05014506709811763,0.013690913924718592,0.05051051909225078,0.259634526667682,0.25739599199041574,0.485890220075026,-0.12913247136326783,0.3332065450055205,0.814219610119467,-0.0740028309717117,-0.00632404095274927,-0.04616242102074035,-0.1532132515886072,-0.13981424004067636,-0.13469847366681492,-0.043594941889343354,-0.16941494037947974,-0.012142169127612991,0.11696356660678707
1.334804222797282,-0.7112369252609755,0.5165088870855159,0.30308482993881003,0.34919739094223684,-0.5935372417939001,0.12454996030066214,-0.01527724951972026,-0.28397376465272967,-0.06392221173775982,0.2686092460901389,-0.08461245573472033,0.17020413532710102,-0.04648371207556535,0.15699079566679752,0.1857747730687501,0.08304198314260253,0.008449281032127571,0.048335599763651524,-0.004986537793633818,-0.04550952084519255,-0.01604472845992775,-0.044004772519803406,-0.03034076854842107,-0.04519748162077725,0.0035448052585621715,0.05111755394447423,-0.10718182422655771,-0.01768653563339401,0.056305262701024504
1.9648852782467574,0.2640593922867477,-0.5149546181396842,1.0685818929294013,-0.32707349909538747,0.6152169345336609,0.48288166090573614,-0.14694956332115988,-0.3912584339307563,-0.43506801911573606,0.5444931362972306,0.0934997815611419,-0.02597447648494052,0.011749775063073412,0.3871657479094303,0.24074515890029227,0.7811309143621326,-0.2910659879125534,0.542677010414595,1.3488931882704025,-0.19366933317886498,-0.0687683609770481,-0.039377604659246654,-0.16511504813189762,-0.183201110117128,-0.14352895573205027,-0.11204329774693024,-0.26343723960544474,-0.029300705784855084,0.20840079146223844
2.787758666010601,-0.4887227065090062,0.059900496185263774,-0.053945564476826885,0.1963943518160211,-0.37707412659178563,0.09196607481985299,-0.2202777519526038,-0.12232806049681849,-0.11823338278351511,0.2284687648268985,-0.13494931139103794,0.0430016707379651,-0.09623324960024102,0.1219175131133413,0.12384429341822215,0.03464555224209392,0.022853990219650833,0.020960929367065992,-0.023921800947736185,-0.025739389791542423,-0.007898413533829416,-0.01620627089877621,-0.05073265846667348,0.021318611180375268,-0.06553201905869901,0.06443587087588307,-0.012297544280777728,-0.01628522688138584,-0.060498991717191794
3.4697831586669863,-0.2627810574004925,-0.5113367786255403,0.35532705469576276,-0.2657641879774932,-0.056266486107689306,0.12116727348880825,-0.06915011988993666,-0.06584422539631005,-0.12970652232733956,0.28798996421165735,-0.10158192580961252,0.08973904664340812,0.05586992474206983,0.06639863324651293,0.12661483863691642,0.11574104984545244,-0.036631971688233914,0.00024954569487989353,0.2784587276625685,-0.025563481754324255,0.004903151454218166,-0.009657625839587004,-0.014314389805158347,-0.0491760632342785,-0.10486107794738035,-0.00795392801000025,-0.048470929557384884,-0.02848550137430793,-0.08410663299688662
1.9812702351140496,-0.5632551415209816,0.19370412637098133,-0.043297561916960436,0.42188252235398854,-0.3267315307232725,0.13785746438923618,-0.22859380773482324,-0.19712364418633083,-0.11421033418654009,0.22013530757957292,-0.21998081940077063,0.13008885180887864,-0.0675263364137656,0.16180526957157854,0.15805595388905602,0.004937478720389979,-0.03459402829753508,0.027626541201939303,-0.016167901012603167,-0.037456437219263936,-0.03075033541098652,-0.057849052712478005,-0.07037306567288099,-0.08707532303281246,0.007325657578683746,0.05728956738327358,-0.031124579877866328,-0.013774238183946817,0.05717531690158406
0.6853080311786944,0.27881541817766714,-0.1841788251520527,2.0677912578111783,0.24096887792827593,1.2751978342238033,0.14042126794614151,0.0597082092041102,-0.47054041808905767,-0.04290058117289757,0.3109494499354738,0.04706069346203673,0.013898836872095643,0.0131732864640344,0.005867301084921089,0.20506369418233536,0.36495288822106237,-0.16900329818707938,0.06512113748435705,0.47576642402789754,-0.13143842180026727,0.04645844137777523,-0.0022070202422284323,0.0411189138350183,0.07912059274928296,-0.06692697908375417,0.011764975073566816,-0.17277900480099995,0.02956175376629119,-0.0627759243243014
0.8737612276609683,-0.546690357198372,0.1766375105665265,-0.08773448996432515,0.5159189128325103,-0.050366030110888166,0.13267236290617995,-0.18431987916632514,-0.2837699224283655,-0.14922465695530965,0.1593762318690565,-0.2864742623278863,0.08240120826382366,-0.19940477313288085,0.11250414060482956,0.0626644147186164,0.11805666494464803,-0.05290427387272775,0.0358980663206324,0.04684529594588545,-0.09008477941926166,-0.11075058338532932,-0.021789911654076215,-0.05571973409380922,-0.056422575753539615,-0.012660551965284619,0.055142860593856535,-0.0201774667154805,-0.027228974162297057,0.07021010220313612
1.6593614058251536,0.2512927243594236,-0.3936431878589334,0.9638072630443237,0.3773986332652743,0.8124600967948027,0.1869445392471351,-0.09038310296713947,-0.1642556115234281,-0.0358090374147093,0.18096446282498332,-0.042259033144973174,0.12953124903028745,-0.03527106297693267,-0.08801765297333697,0.18606393317800515,0.0029296523578967587,-0.11839502836531848,0.04754258234731615,0.16171859774356828,-0.010206277293085592,-0.03457232297600389,0.022872522658877004,-0.05137297411010475,-0.11795049838116958,0.0006142096790232067,0.011372262207068475,-0.06195563150957131,-0.01594491600666905,0.06669472597964403
1.2804857694929597,-0.5371816667981156,-0.011152431085844489,-0.13163504531893241,0.602677310489516,-0.05421971257236802,0.22656313807207956,-0.20583028096672362,-0.21512148093198719,-0.09373092410573027,0.08385376723821839,-0.3065554802872503,0.16792975100102922,-0.19592368503944108,0.09414486810246551,0.0804314913412007,-0.006842733510762096,-0.048182923105662606,0.060861878723887194,0.050244705475696566,-0.10113332611869055,-0.12090669315814116,0.01382955926843922,-0.05974268638562677,-0.03379809515572644,-0.03977268459543385,0.09508299722153135,0.05640117099192292,-0.06410950487806844,-0.07978523783471901
-1.871742700893957,1.1059641982331367,-0.17332110370871653,2.7018215860252943,1.769666233507163,2.695235278490648,0.42948021061100083,-0.33205605174797664,-0.6544871440919042,0.21870448369642298,0.1400456662377075,-0.32276897134948856,0.1127203529522666,-0.23251210492763297,-0.26740281415049366,-0.041263618468476565,-0.09481050856302739,-0.0023403623756877772,0.07729537731780667,0.42778223759838985,0.05965859907467089,-0.110397339201612,-0.022899218683313485,0.10597763580010094,0.02314779260870444,-0.001056315355100871,0.11659359868624496,-0.16076852928593244,0.03759776625065106,0.026395501107354023
2.7767436177978504,-0.3494513291613788,-0.18436899361160855,-0.23171896205356057,0.20146582466627194,-0.20662035100341758,0.04511554623379509,-0.29963962048629195,-0.07960037845379983,-0.16330180052400828,0.19631276643342147,-0.20216045014783032,-0.014078483812986061,-0.09224183300566843,0.050131873681273684,0.12031402537761399,0.01187825032067525,0.0381684915129428,-0.005158170971049682,0.030507511299927723,0.03922587288995777,-0.030006763915796226,-0.034556119318609094,-0.05089290103355035,-0.03752990647780173,-0.049891788220343,0.05784084010323183,-0.021875990854519717,-0.06202071716049701,0.0035666199529295955
2.6901888143199515,0.04180840311909126,-0.3793664882848233,0.4409319206187187,0.05297406871815012,0.3401300588414816,0.04688690451337103,-0.13205984242617141,-0.08619077387589422,-0.12502585415228848,0.24971348702534965,0.0018335004189251776,0.03921964497885688,0.0071790287662625435,-0.0792239738907064,0.14875199623632523,0.00013794084339853463,-0.049667470377824624,0.0008077813915381982,0.017027654828640923,-0.004715723650448681,-0.04416648886185873,0.061547852153084934,-0.08228290748574908,-0.07975013243390044,-0.08039312480016167,0.05414589946925577,-0.03866044009535073,0.007562492780317816,-0.008458836169079113
1.9675913212571858,-0.4097232965620883,0.0009137454361577702,-0.23538393245038447,0.42757061984944184,-0.17227565100100184,0.1410269116688601,-0.29583713961218105,-0.2145909112692837,-0.1344403199530604,0.07435677607140931,-0.19795854854656705,0.03376551769277685,-0.1058387099550426,0.043428339952580275,0.0811004297669897,0.052195265131080006,0.007853095514379795,-0.026575039904471597,0.04759447446630226,-0.031319653706793224,-0.07675054431817313,-0.044784084814819186,-0.026287090943110422,-0.11495153245653791,-0.04418940223028563,0.0862334889052669,-0.028107768755115996,-0.03805601535309436,0.05922968532141469
