Dataset,Algorithm,min_cluster_size,min_samples,clusters,noise_ratio,Silhouette,Davies_Bouldin
full,HDBSCAN,15,10,213,0.3196980589503954,0.43057389462658213,0.9373619766904909
pca,HDBSCAN,15,10,223,0.3061826024442847,0.4825270502428458,0.924493686804527
fs,HDBSCAN,15,10,186,0.39532710280373834,0.46234936672504456,0.7781261634166974
