Dataset,Algorithm,eps,min_samples,Clusters,NoiseRatio,Silhouette,Davies_Bouldin,ARI,NMI
full,DBSCAN,1.5,20,6,0.038461538461538464,0.3607703316426858,0.5408436246435371,-0.004592714195061146,0.03924754886786125
pca,DBSCAN,1.5,20,5,0.024299065420560748,0.5003357506121694,0.4193859524947278,,
fs,DBSCAN,1.5,20,3,0.005535585909417685,0.6179804267359976,0.36778743967770394,,
