Dataset,Algorithm,min_cluster_size,min_samples,Clusters,NoiseRatio,Silhouette,Davies_Bouldin,ARI,NMI
full,HDBSCAN,5,20,153,0.42300503235082676,0.48950944596943774,0.7144350784921872,0.01927445122850382,0.3827876096740394
pca,HDBSCAN,5,20,159,0.4166786484543494,0.5771330454447229,0.608310955354765,,
fs,HDBSCAN,15,20,97,0.5140905823148814,0.48374862376038913,0.7147422804093968,,
