cluster
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
30
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
28
-1
28
-1
28
-1
-1
-1
29
-1
-1
-1
28
-1
-1
-1
-1
-1
29
-1
-1
-1
28
-1
29
30
28
-1
28
-1
-1
-1
-1
-1
28
-1
28
-1
29
30
-1
-1
28
-1
28
-1
28
-1
28
-1
28
-1
-1
-1
-1
30
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
28
16
28
-1
28
-1
29
30
-1
-1
28
-1
-1
-1
-1
-1
-1
-1
28
-1
28
-1
-1
5
-1
-1
28
17
28
5
-1
5
29
30
-1
5
28
17
-1
5
-1
5
29
30
-1
5
-1
-1
29
30
28
17
-1
5
-1
5
-1
-1
-1
-1
-1
5
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
5
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
5
-1
-1
-1
-1
-1
5
-1
-1
-1
-1
-1
-1
-1
-1
-1
5
-1
-1
-1
-1
-1
-1
-1
17
-1
-1
-1
5
28
17
-1
-1
-1
5
-1
-1
-1
-1
-1
-1
-1
30
-1
-1
-1
-1
28
17
-1
-1
-1
5
-1
-1
28
17
-1
-1
-1
5
-1
30
-1
-1
28
17
28
-1
-1
5
29
30
-1
-1
-1
-1
29
30
28
17
28
-1
-1
5
-1
-1
-1
-1
-1
5
29
30
-1
-1
-1
-1
28
17
28
-1
28
17
-1
-1
-1
5
-1
-1
-1
5
-1
-1
-1
-1
28
17
-1
5
-1
5
29
-1
-1
5
-1
5
-1
-1
-1
-1
28
17
-1
-1
-1
5
29
-1
-1
-1
-1
-1
28
-1
-1
-1
-1
5
28
-1
-1
-1
-1
5
-1
-1
-1
-1
-1
-1
29
30
-1
-1
28
-1
28
16
28
-1
-1
15
28
-1
28
16
28
-1
28
15
29
30
-1
-1
28
16
28
-1
28
15
29
30
-1
-1
28
-1
29
30
28
16
28
-1
28
15
28
-1
28
-1
28
15
29
30
28
-1
28
-1
28
16
28
-1
28
16
28
-1
28
15
29
30
-1
-1
-1
-1
-1
-1
28
16
-1
-1
-1
15
29
-1
-1
