"","cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1",0,1.47385760993105,-1.1743337194882,0.0689248010378833,0.182576312733124,-0.0683007705137202,0.252568796261575,-0.0532764227635053,-0.237199824789067
"2",1,-0.838181418981489,2.30844823405837,-0.344144887046709,-0.195478797715526,-0.842779581395175,0.165638646418341,0.114398230686337,-0.14783224668017
"3",2,2.48811568787246,-0.156902565336615,-0.0754108674294812,0.12854542477906,0.285724032396437,0.0175385061011166,0.0383258012997441,-0.0707721163206537
"4",3,-1.00205456406774,-0.592297457558509,-0.242999356792942,-0.473898672546069,-0.130572517222529,-0.30332505967861,-0.179169447290899,0.550775519549791
"5",4,-6.10090141754913,-2.72481086402486,-1.76131499312072,0.468923068992109,0.0400483076068003,0.34077339841886,0.139131262678461,-0.294642630441015
"6",5,-1.48453165451133,-2.71125346589198,0.834701159705018,-0.788163806001652,-1.0617147222607,-0.662819134309272,-0.0174854176848666,-0.364339995933755
"7",6,-1.17348362785463,0.509747332889903,0.647295173146043,-0.449260513356747,0.832922499863081,0.0447407549255519,0.218344935663544,0.0405175797052508
"8",7,-1.65821289249927,0.565055517247776,0.979487741750914,0.460975757364391,0.058514684890959,0.407818835797108,-0.0825148535105427,0.0498083846434817
"9",8,0.583315465692734,0.768041690534718,0.003073179919864,1.21650095084635,0.129219570058115,-0.525091651156006,-0.269852011367443,-0.0874034432813149
"10",9,2.52612232558469,-0.429439945260995,-0.362402211290235,-0.113213785310616,0.00354454535887508,0.061430942032032,-0.0580106322834983,0.15259272614134
