"","cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1",-1,-4.82603282287314,-1.3191732774447,-0.92077911387242,0.589209412075586,0.361329720088002,0.270399249662226,-0.483388139646742,-0.236451385465015
"2",0,0.331732483814149,0.0930147676266671,0.0675460294518766,-0.0304185036988237,-0.00368512371945759,-0.0205170309034259,0.0105257216092473,0.00523655869617482
"3",1,-13.6307049353607,-3.43759605973705,-2.71844731488579,1.04535661503894,-0.220832431453515,1.25773496522908,-0.22560830867072,0.0988784945612552
"4",2,-7.85937038638502,-3.09174468679111,-0.594500159402949,1.02362143632954,-0.497962264781647,0.815440314239042,-0.00818684642257749,-0.10433641340524
"5",3,-9.0249493050427,-3.75710577081966,-7.72667062583184,1.89395536408925,0.855225542817189,-0.573775641882023,2.50231783723096,-0.416568316161694
"6",4,-7.10633925667637,-1.92127304826471,0.190198999669321,-1.89299446410849,-1.41362385574932,-1.70598121782382,0.332680871023381,0.411490891848859
